Frequencies,Input,Output
500,2.19,2.17
500,2.36,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.46
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.21
500,2.18,2.16
500,2.35,2.37
500,2.49,2.65
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.36,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.46
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.46
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.18,2.16
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.44
500,2.15,2.22
500,2.18,2.17
500,2.35,2.39
500,2.49,2.64
500,2.39,2.45
500,2.15,2.21
500,2.19,2.16
500,2.36,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.46
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.16
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.21,2.23
500,2.21,2.17
500,2.36,2.39
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.44
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.48,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.16,2.22
500,2.19,2.16
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.16
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.44
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.18,2.16
500,2.35,2.37
500,2.49,2.64
500,2.40,2.45
500,2.15,2.21
500,2.18,2.17
500,2.35,2.38
500,2.48,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.50,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.46
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.16
500,2.36,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.46
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.34,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.44
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.16,2.22
500,2.19,2.18
500,2.35,2.39
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.39
500,2.48,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.46
500,2.15,2.23
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.64
500,2.40,2.45
500,2.15,2.23
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.18,2.16
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.46
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.37
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.18,2.17
500,2.34,2.39
500,2.48,2.64
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.44
500,2.21,2.23
500,2.21,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.18,2.18
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.16
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.18,2.16
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.23
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.23
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.37
500,2.49,2.65
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.46
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.46
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.46
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.23
500,2.19,2.18
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.64
500,2.40,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.66
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.36,2.39
500,2.49,2.65
500,2.39,2.44
500,2.15,2.21
500,2.18,2.17
500,2.35,2.38
500,2.48,2.65
500,2.40,2.44
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.44
500,2.15,2.22
500,2.18,2.17
500,2.35,2.37
500,2.49,2.66
500,2.39,2.45
500,2.15,2.22
500,2.18,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.44
500,2.16,2.22
500,2.19,2.17
500,2.36,2.38
500,2.49,2.64
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.48,2.64
500,2.39,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.16,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.18,2.16
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.18
500,2.35,2.38
500,2.49,2.64
500,2.39,2.44
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.64
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.39,2.44
500,2.15,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.39,2.45
500,2.15,2.21
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.16,2.22
500,2.19,2.17
500,2.35,2.39
500,2.49,2.64
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
500,2.49,2.65
500,2.40,2.45
500,2.15,2.22
500,2.19,2.17
500,2.35,2.38
600,2.14,2.18
600,2.31,2.48
600,2.41,2.41
600,2.26,2.14
600,2.31,2.41
600,2.20,2.27
600,2.41,2.61
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.23
600,2.30,2.39
600,2.43,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.43,2.61
600,2.31,2.23
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.51
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.44
600,2.25,2.11
600,2.36,2.50
600,2.37,2.34
600,2.24,2.28
600,2.42,2.61
600,2.31,2.23
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.36,2.51
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.51
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.23
600,2.30,2.39
600,2.43,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.11
600,2.36,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.30,2.22
600,2.30,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.51
600,2.37,2.34
600,2.23,2.28
600,2.42,2.61
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.11
600,2.37,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.22
600,2.30,2.40
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.24,2.28
600,2.42,2.61
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.51
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.21
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.34
600,2.23,2.27
600,2.43,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.44
600,2.24,2.12
600,2.36,2.50
600,2.37,2.33
600,2.22,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.23
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.51
600,2.37,2.33
600,2.24,2.27
600,2.42,2.60
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.51
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.23,2.28
600,2.43,2.61
600,2.31,2.23
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.22,2.27
600,2.42,2.61
600,2.30,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.34
600,2.23,2.27
600,2.43,2.61
600,2.31,2.23
600,2.30,2.39
600,2.43,2.44
600,2.24,2.11
600,2.36,2.50
600,2.37,2.34
600,2.23,2.28
600,2.42,2.60
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.11
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.23
600,2.31,2.40
600,2.44,2.45
600,2.25,2.12
600,2.36,2.50
600,2.37,2.32
600,2.22,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.51
600,2.37,2.34
600,2.23,2.28
600,2.42,2.60
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.23
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.34
600,2.23,2.26
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.23
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.61
600,2.31,2.23
600,2.31,2.40
600,2.44,2.44
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.50
600,2.37,2.34
600,2.24,2.28
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.43,2.44
600,2.25,2.11
600,2.36,2.50
600,2.37,2.32
600,2.22,2.28
600,2.42,2.61
600,2.31,2.23
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.22,2.27
600,2.42,2.60
600,2.31,2.22
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.43,2.44
600,2.25,2.12
600,2.36,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.61
600,2.31,2.22
600,2.31,2.39
600,2.44,2.45
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.26
600,2.42,2.61
600,2.31,2.23
600,2.30,2.39
600,2.43,2.45
600,2.25,2.11
600,2.36,2.50
600,2.37,2.33
600,2.23,2.28
600,2.42,2.60
600,2.31,2.23
600,2.31,2.39
600,2.44,2.44
600,2.25,2.12
600,2.37,2.50
600,2.37,2.33
600,2.23,2.28
600,2.43,2.61
600,2.31,2.23
600,2.30,2.39
600,2.44,2.44
600,2.25,2.11
600,2.36,2.50
600,2.37,2.33
600,2.23,2.27
600,2.42,2.60
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.26,2.12
600,2.37,2.50
600,2.37,2.32
600,2.23,2.27
600,2.42,2.61
600,2.31,2.22
600,2.30,2.39
600,2.44,2.45
600,2.25,2.12
